"Stock
No.",Year,Make,Model,"Model
No.",Color,Lot,VIN,Mileage,Age,Balance,Retail,Certified,"Stock 
Type",Wholesale
54876,2021,HOND,PILOT,YF6H2MJNW,GY,HERE,5FNYF6H21MB078644,"26,205",578,"$33,370.09 ","$42,435 ",,NEW,
O73386XX,2018,JAGU,F-PACE,,BLACK,MA CB004402,SADCK2GX5JA290015,"28,621",175,"$35,788.73 ","$32,968 ",,USED,
O73453XX,2018,JEEP,GRAND CHEROKEE,,SILVER,MA CA911100,1C4RJFJGXJC341988,58311,147,"$32,553.31 ","$30,968 ",,USED,
55950,2022,HOND,ACCORD,CV1F3NEW,GRAY,,1HGCV1F34NA059559,19,145,"$27,599.13 ",$0 ,,NEW,
O73476XX,2021,HYUN,TUCSON,,BLUE,MA CB558128,KM8J3CAL4MU301581,"20,689",144,"$31,365.15 ","$28,488 ",,USED,
56029,2022,HOND,ACCORD,CV1F3NEW,SILVER,,1HGCV1F37NA067901,6,109,"$27,202.53 ",$0 ,,NEW,
56063,2022,HOND,PILOT,YF6H8NKNW,WX,HERE,5FNYF6H83NB071801,8,94,"$42,830.72 ","$46,500 ",,NEW,
O56030A,2019,HOND,CIVIC,FC1F3KJW,BLUE,RI 20438376,19XFC1F3XKE212293,"21,711",89,"$24,024.46 ","$22,968 ",Certified,USED,
O73585,2014,BMW,X1,14XB,SILVER,MA BU494627,WBAVL1C52EVY21375,42714,89,"$17,144.28 ","$15,968 ",,USED,
56089,2023,HOND,RIDGELINE,YK3F5PJNW,SI,HERE,5FPYK3F50PB002321,7,87,"$39,511.22 ","$43,075 ",,NEW,
O73596XX,2020,SUBA,FORESTER,LFG,GRAY,MA CE777570,JF2SKARCXLH416103,"76,850",84,"$24,549.00 ","$24,968 ",,USED,
O73599XX,2018,ACUR,MDX,,WHITE,MA CE360628,5J8YD4H88JL023973,"71,815",84,"$32,849.00 ","$33,488 ",,USED,
O73612XX,2019,DODG,CHALLENGER,,BLUE,MA CE834660,2C3CDZFJ3KH735712,22527,84,"$39,749.00 ","$39,968 ",,USED,
O73591XX,2020,TOYO,CAMRY,G11AK5,BLACK,MA CE847946,4T1G11AK5LU905277,"40,079",84,"$26,424.00 ","$24,968 ",,USED,
O73613XX,2019,MAZD,CX5,,,MA BV780984,JM3KFBDM4K0627259,"23,957",84,"$27,949.00 ","$26,968 ",,USED,
56097,2022,HOND,PILOT,YF6H3NEW,WX,HERE,5FNYF6H36NB077709,6,83,"$38,944.63 ","$41,770 ",,NEW,
O73626XX,2017,TOYO,PRIUS,ARFP5H,SILVER,CITZ5DAY10.27,JTDKARFP5H3011312,"89,587",83,"$22,949.00 ","$23,488 ",,USED,
O73616XX,2020,BUIC,ENVISION,,SILVER,VT0115200217014,LRBFX2SA8LD031144,"52,981",83,"$28,389.00 ","$27,968 ",,USED,
O73629XX,2018,JEEP,WRANGLER,,RED,MA BU018439,1C4HJXDG9JW157377,"62,651",82,"$29,031.95 ","$28,968 ",,USED,
O73633ZZ,2020,JEEP,WRANGLER,,BLACK,MACF402414,1C4HJXFN6LW132516,"31,981",82,"$48,664.00 ","$46,968 ",,USED,
O73635XX,2021,CHEV,TRAILBLAZER,,BLACK,MA CC327274,KL79MNSL1MB059839,19659,82,"$26,459.30 ","$25,488 ",,USED,
O73636XX,2019,CHEV,COLORADO,,BLACK,MA BU930778,1GCGTEENXK1208682,28072,82,"$39,092.00 ","$38,488 ",,USED,
O73637XX,2022,GENES,G70,,RED,MA CD366763,KMTG54TE3NU082063,"10,501",82,"$44,114.00 ","$42,777 ",,USED,
O73660XX,2019,DODG,RAM 1500,,BLUE,MA CF064728,1C6RR7FG2KS534903,26321,82,"$28,714.00 ","$27,777 ",,USED,
O73639XX,2018,JEEP,COMPASS,,BLUE,MA CC164142,3C4NJDBB7JT100402,45932,82,"$20,380.12 ","$20,488 ",,USED,
O73663XX,2016,SUBA,CROSSTREK,GRD,,MI 131E7880017,JF2GPAKC2GH290021,46700,81,"$21,741.86 ","$21,768 ",,USED,
56102,2022,HOND,PILOT,YF6H3NEW,SI,HERE,5FNYF6H37NB078769,7,81,"$38,292.86 ","$41,375 ",,NEW,
56105,2022,HOND,PASSPORT,YF8H6NKNW,BK,HERE,5FNYF8H60NB024882,5,80,"$40,795.08 ","$44,265 ",,NEW,
O56050A,2020,HOND,PILOT,YF6H5LJNW,SILVER,RI 20509306,5FNYF6H55LB026345,35798,77,"$32,859.06 ","$33,468 ",Certified,USED,
56109,2022,HOND,PILOT,YF6H2NJNW,SIL,HERE,5FNYF6H28NB080134,35,76,"$40,780.43 ","$44,205 ",,NEW,
56110,2022,HOND,PILOT,YF6H3NEW,SI,HERE,5FNYF6H33NB079675,16,76,"$38,202.86 ","$41,375 ",,NEW,
56113,2023,HOND,HR-V,RZ2H3PEW,WHITE,HERE,3CZRZ2H33PM715153,10,76,"$25,211.16 ","$26,790 ",,NEW,
