"Stock
No.",Year,Make,Model,"Model
No.",Color,Lot,VIN,Mileage,Age,Balance,Retail,Certified,"Stock 
Type",Wholesale
54876,2021,HOND,PILOT,YF6H2MJNW,GY,6,5FNYF6H21MB078644,7748,291,38588.09,42435,,NEW,
55483,2022,HOND,ACCORD,CV1F5NJNW,WX,,1HGCV1F52NA000964,6,91,30735.55,33200,,NEW,
O72688XX,2019,FORD,ESCAPE,U9H,GRAY,MA CD428362,1FMCU9HD2KUC28862,39572,90,24795.26,23968,,USED,
O55454A,2019,HOND,CR-V,RW6H3KEW,BLUE,MA BU882665,2HKRW6H39KH202980,21332,84,26375.97,26768,,USED,
O72710XX,2019,TOYO,RAV4,,gray,MA BV291115,JTMP1RFV0KD501226,34065,83,30998.95,30638,,USED,
O72699XX,2018,BMW,320I,18TJ,GRAY,MABU739955,WBA8A3C57JA505972,50449,83,25211.93,24968,,USED,
O72703XX,2019,KIA,SPORTAGE,,BLACK,MA BU340401,KNDPMCAC1K7502412,39512,83,22239.95,22288,,USED,
O55459A,2015,NISS,ALTIMA,,BLACK,DUPAPP1-11-22,1N4AL3AP1FC173001,148550,81,7235.06,0,,USED,
O55457A,2018,HOND,RIDGELINE,YK3F6JGNW,BLACK,RI 20120544,5FPYK3F64JB011345,38733,80,31155.01,32768,,USED,
O72625A,2018,MB,C300,,BLACK,RI20883381,55SWF4KB3JU270811,51523,77,26982.92,28745,,USED,
O55462A,2019,HOND,ODYSSEY,ODYS,BLUE,RI20259359,5FNRL6H77KB012184,65531,77,31442.43,32888,,USED,
O55488A,2020,HOND,ODYSSEY,RL6H5LEXW,GRAY,RI 20747873,5FNRL6H59LB065470,26930,76,37490.96,36680,,USED,
O72728XX,2019,TOYO,CAMRY,,RED,CTAA2932015,4T1B11HK5KU160240,38938,76,24795.92,24451,,USED,
O72730XX,2018,HYUN,TUCSON,,RED,MA CD618466,KM8J3CA42JU645642,15845,76,26685.13,25781,,USED,
O72724XX,2018,TOYO,RAV4,,GRAY,MABU667682,2T3BFREV0JW854726,40108,76,24609.42,24568,,USED,
O72731,2020,HOND,RIDGELINE,,SILVER,RI20620798,5FPYK3F77LB007883,19276,75,38619.06,39968,,USED,
O55507A,2019,HOND,CIVIC,FC2F6KEW,WHITE,MA BV212799,2HGFC2F69KH533439,46595,70,18901.93,20968,Certified,USED,
O72738XX,2018,JEEP,WRANGLER,,GRAY,MA BT805826,1C4HJXDG8JW112625,41971,69,35789.06,36968,,USED,
O72739XX,2018,TOYO,4 RUNNER,,BLACK,MA CD684890,JTEBU5JR1J5559208,58410,69,38320.78,39968,,USED,
O72741XX,2019,TOYO,RAV4,,BLUE,MA CD940530,JTMP1RFV5KD028049,39814,69,30669.06,31715,,USED,
