Year	Model	Model Code	MSRP	Dlr Inv.	Model Description
2022	Passport 	YF8H5NJNW	"$39,970.00 "	"$37,255.08 "	AWD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission
2022	Passport 	YF8H5NJNW	"$40,365.00 "	"$37,622.75 "	AWD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission w/Premium Color
2022	Passport 	YF8H6NKNW	"$42,470.00 "	"$39,582.08 "	AWD 5D 3.5L V6 TrailSport 9-Speed Automatic Transmission
2022	Passport 	YF8H6NKNW	"$42,865.00 "	"$39,949.75 "	AWD 5D 3.5L V6 TrailSport 9-Speed Automatic Transmission w/Premium Color
2022	Passport 	YF8H0NKNW	"$45,430.00 "	"$41,635.35 "	AWD 5D 3.5L V6 Elite 9-Speed Automatic Transmission
2022	Passport 	YF8H0NKNW	"$45,825.00 "	"$42,003.02 "	AWD 5D 3.5L V6 Elite 9-Speed Automatic Transmission w/Premium Color
2022	Passport  Package	"HPD Bronze Pkg, TRAILSP"	"$2,900.00 "	"$2,668.00 "	"Fender Flares, 18"" HPD Alloy Wheels, HPD Lower Door Trim, and HPD Decals"
2022	Passport  Package	HPD Bronze Pkg	"$2,900.00 "	"$2,668.00 "	"Fender Flares, 20"" HPD Alloy Wheels , HPD Lower Door Trim, and HPD Decals"
2022	Passport  Package	HPD Black Pkg. TRAILSP	"$2,900.00 "	"$2,668.00 "	"Fender Flares, 18"" HPD Alloy Wheels , Black Wheel Lug Nuts, HPD Lower Door Trim, and HPD Decals"
2022	Passport  Package	HPD Black Pkg	"$2,900.00 "	"$2,668.00 "	"Fender Flares, 20"" HPD Alloy Wheels, Black Wheel Lug Nuts, HPD Lower Door Trim, and HPD Decals"
2022	Passport  Package	"Utility Pkg, EX-L"	"$1,070.00 "	$984.40 	"Roof Rails, Crossbars, and Trailer Hitch"
2022	Passport  Package	"Utility Pkg, TRAILSP"	$616.00 	$566.72 	"Crossbars, and Trailer Hitch"
2022	Passport  Package	"Utility Pkg, ELITE"	$731.00 	$672.52 	"Crossbars, Trailer Hitch, and Tailgate Kick Sensor Adaptor"
2022	Passport  Package	Function Pkg	$288.00 	$264.96 	"Cargo Net, Cargo Cover, and First Aid Kit"
2022	Civic SI	FE1E5NJXW	"$27,300.00 "	"$25,883.63 "	4D 1.5T L4 6-Speed Manual Transmission
2022	Civic SI	FE1E5NJXW	"$27,695.00 "	"$26,257.40 "	4D 1.5T L4 6-Speed Manual Transmission w/Premium Color
2022	Civic SI	FE1E5NJW	"$27,500.00 "	"$26,072.88 "	4D 1.5T L4 6-Speed Manual Transmission w/Summer Tires
2022	Civic SI	FE1E5NJW	"$27,895.00 "	"$26,446.65 "	4D 1.5T L4 6-Speed Manual Transmission w/Summer Tires & Premium Color
2022	Accord	CV1F1NEW	"$26,120.00 "	"$24,901.57 "	4D 1.5T L4 LX Continuously Variable Transmission
2022	Accord	CV1F1NEW	"$26,515.00 "	"$25,271.27 "	4D 1.5T L4 LX Continuously Variable Transmission w/Premium Color
2022	Accord	CV1F3NEW	"$28,580.00 "	"$26,800.45 "	4D 1.5T L4 Sport Continuously Variable Transmission
2022	Accord	CV1F3NEW	"$28,975.00 "	"$27,170.15 "	4D 1.5T L4 Sport Continuously Variable Transmission w/Premium Color
2022	Accord	CV1F4NENW	"$30,070.00 "	"$28,195.02 "	4D 1.5T L4 Sport SE Continuously Variable Transmission
2022	Accord	CV1F4NENW	"$30,465.00 "	"$28,564.72 "	4D 1.5T L4 Sport SE Continuously Variable Transmission w/Premium Color
2022	Accord	CV1F5NJNW	"$32,440.00 "	"$30,413.22 "	4D 1.5T L4 EX-L Continuously Variable Transmission
2022	Accord	CV1F5NJNW	"$32,835.00 "	"$30,782.92 "	4D 1.5T L4 EX-L Continuously Variable Transmission w/Premium Color
2022	Accord	CV2F3NJW	"$33,260.00 "	"$31,180.70 "	4D 2.0T L4 Sport 10-Speed Automatic Transmission
2022	Accord	CV2F3NJW	"$33,655.00 "	"$31,550.40 "	4D 2.0T L4 Sport 10-Speed Automatic Transmission w/Premium Color
2022	Accord	CV2F9NKNW	"$38,050.00 "	"$35,076.03 "	4D 2.0T L4 Touring 10-Speed Automatic Transmission
2022	Accord	CV2F9NKNW	"$38,445.00 "	"$35,445.73 "	4D 2.0T L4 Touring 10-Speed Automatic Transmission w/Premium Color
